Date,Price,Open,High,Low,Vol.,Change %,days
18-Jun-19,97.64,97.53,97.77,97.37,-,0.08%,2328
17-Jun-19,97.56,97.52,97.6,97.34,-,-0.01%,2327
14-Jun-19,97.57,97.01,97.58,96.94,-,0.58%,2326
13-Jun-19,97.01,96.96,97.08,96.87,-,0.01%,2325
12-Jun-19,97,96.71,97.02,96.58,-,0.32%,2324
11-Jun-19,96.69,96.75,96.88,96.64,-,-0.07%,2323
10-Jun-19,96.76,96.64,96.94,96.63,-,0.23%,2322
7-Jun-19,96.54,97.01,97.18,96.46,-,-0.52%,2321
6-Jun-19,97.04,97.29,97.35,96.78,-,-0.29%,2320
5-Jun-19,97.32,97.12,97.37,96.75,-,0.26%,2319
4-Jun-19,97.07,97.21,97.33,97,-,-0.07%,2318
3-Jun-19,97.14,97.64,97.8,97.11,-,-0.62%,2317
31-May-19,97.75,98.15,98.17,97.61,-,-0.40%,2316
30-May-19,98.14,98.13,98.28,98.09,-,0.00%,2315
29-May-19,98.14,97.92,98.21,97.86,-,0.19%,2314
28-May-19,97.95,97.74,97.98,97.7,-,0.35%,2313
27-May-19,97.61,97.57,97.79,97.55,-,0.00%,2312
24-May-19,97.61,97.83,97.91,97.55,-,-0.26%,2311
23-May-19,97.86,98.06,98.37,97.81,-,-0.18%,2310
22-May-19,98.04,98.02,98.12,97.89,-,-0.02%,2309
21-May-19,98.06,97.92,98.13,97.82,-,0.13%,2308
20-May-19,97.93,97.96,98.04,97.88,-,-0.07%,2307
17-May-19,98,97.83,98.03,97.77,-,0.14%,2306
16-May-19,97.86,97.54,97.88,97.44,-,0.30%,2305
15-May-19,97.57,97.53,97.7,97.44,-,0.04%,2304
14-May-19,97.53,97.32,97.56,97.27,-,0.22%,2303
13-May-19,97.32,97.3,97.38,97.03,-,-0.01%,2302
10-May-19,97.33,97.43,97.45,97.13,-,-0.04%,2301
9-May-19,97.37,97.58,97.7,97.24,-,-0.26%,2300
8-May-19,97.62,97.57,97.68,97.42,-,-0.01%,2299
7-May-19,97.63,97.52,97.74,97.38,-,0.11%,2298
6-May-19,97.52,97.56,97.7,97.46,-,0.00%,2297
3-May-19,97.52,97.83,98.1,97.41,-,-0.32%,2296
2-May-19,97.83,97.63,97.85,97.51,-,0.14%,2295
1-May-19,97.69,97.53,97.73,97.15,-,0.22%,2294
30-Apr-19,97.48,97.84,97.89,97.44,-,-0.39%,2293
29-Apr-19,97.86,98.03,98.1,97.83,-,-0.15%,2292
26-Apr-19,98.01,98.12,98.33,97.85,-,-0.19%,2291
25-Apr-19,98.2,98.1,98.32,97.99,-,0.03%,2290
24-Apr-19,98.17,97.59,98.19,97.59,-,0.54%,2289
23-Apr-19,97.64,97.28,97.78,97.28,-,0.36%,2288
22-Apr-19,97.29,97.38,97.41,97.26,-,-0.09%,2287
19-Apr-19,97.38,97.42,97.43,97.33,-,-0.09%,2286
18-Apr-19,97.47,97.01,97.48,96.96,-,0.47%,2285
17-Apr-19,97.01,97.07,97.12,96.82,-,-0.03%,2284
16-Apr-19,97.04,96.93,97.09,96.88,-,0.10%,2283
15-Apr-19,96.94,96.92,96.96,96.79,-,-0.03%,2282
12-Apr-19,96.97,97.14,97.18,96.75,-,-0.22%,2281
11-Apr-19,97.18,96.89,97.19,96.88,-,0.24%,2280
10-Apr-19,96.95,96.99,97.22,96.85,-,-0.06%,2279
9-Apr-19,97.01,97.08,97.08,96.86,-,-0.04%,2278
8-Apr-19,97.05,97.39,97.4,96.98,-,-0.35%,2277
5-Apr-19,97.39,97.3,97.47,97.19,-,0.08%,2276
4-Apr-19,97.31,97.04,97.34,97.02,-,0.23%,2275
3-Apr-19,97.09,97.3,97.32,96.96,-,-0.28%,2274
2-Apr-19,97.36,97.33,97.52,97.27,-,0.13%,2273
1-Apr-19,97.23,97.18,97.39,97.03,-,-0.05%,2272
29-Mar-19,97.28,97.2,97.34,97,-,0.08%,2271
28-Mar-19,97.2,96.97,97.3,96.82,-,0.44%,2270
27-Mar-19,96.77,96.75,96.98,96.68,-,0.03%,2269
26-Mar-19,96.74,96.5,96.84,96.45,-,0.18%,2268
25-Mar-19,96.57,96.64,96.68,96.41,-,-0.08%,2267
22-Mar-19,96.65,96.32,96.81,96.21,-,0.16%,2266
21-Mar-19,96.5,95.91,96.62,95.84,-,0.77%,2265
20-Mar-19,95.76,96.4,96.57,95.74,-,-0.64%,2264
19-Mar-19,96.38,96.51,96.52,96.29,-,-0.15%,2263
18-Mar-19,96.52,96.56,96.63,96.38,-,-0.07%,2262
15-Mar-19,96.59,96.72,96.79,96.49,-,-0.20%,2261
14-Mar-19,96.78,96.49,96.82,96.47,-,0.24%,2260
13-Mar-19,96.55,97.01,97.02,96.39,-,-0.40%,2259
12-Mar-19,96.94,97.05,97.28,96.86,-,-0.29%,2258
11-Mar-19,97.22,97.39,97.45,96.92,-,-0.09%,2257
8-Mar-19,97.31,97.61,97.64,97.25,-,-0.37%,2256
7-Mar-19,97.67,96.83,97.71,96.81,-,0.83%,2255
6-Mar-19,96.87,96.9,96.99,96.78,-,0.00%,2254
5-Mar-19,96.87,96.67,97.01,96.66,-,0.20%,2253
4-Mar-19,96.68,96.34,96.82,96.33,-,0.16%,2252
1-Mar-19,96.53,96.22,96.55,96.07,-,0.38%,2251
28-Feb-19,96.16,96.09,96.28,95.82,-,0.01%,2250
27-Feb-19,96.15,96.06,96.19,95.88,-,0.16%,2249
26-Feb-19,96,96.39,96.46,95.95,-,-0.43%,2248
25-Feb-19,96.41,96.52,96.6,96.32,-,-0.10%,2247
22-Feb-19,96.51,96.59,96.78,96.42,-,-0.10%,2246
21-Feb-19,96.61,96.49,96.66,96.36,-,0.17%,2245
20-Feb-19,96.45,96.53,96.65,96.29,-,-0.07%,2244
19-Feb-19,96.52,96.81,97.08,96.43,-,-0.39%,2243
18-Feb-19,96.9,96.81,96.9,96.65,-,0.00%,2242
15-Feb-19,96.9,97.06,97.37,96.83,-,-0.08%,2241
14-Feb-19,96.98,97.14,97.28,96.95,-,-0.15%,2240
13-Feb-19,97.13,96.73,97.26,96.63,-,0.43%,2239
12-Feb-19,96.71,97.06,97.2,96.65,-,-0.36%,2238
11-Feb-19,97.06,96.66,97.12,96.62,-,0.43%,2237
8-Feb-19,96.64,96.6,96.69,96.45,-,0.13%,2236
7-Feb-19,96.51,96.39,96.67,96.38,-,0.12%,2235
6-Feb-19,96.39,96.06,96.42,96.04,-,0.33%,2234
5-Feb-19,96.07,95.83,96.12,95.81,-,0.23%,2233
4-Feb-19,95.85,95.6,95.92,95.57,-,0.28%,2232
1-Feb-19,95.58,95.55,95.66,95.4,-,0.00%,2231
31-Jan-19,95.58,95.35,95.62,95.16,-,0.25%,2230
30-Jan-19,95.34,95.79,95.98,95.25,-,-0.50%,2229
29-Jan-19,95.82,95.74,95.87,95.62,-,0.07%,2228
28-Jan-19,95.75,95.79,95.92,95.64,-,-0.04%,2227
25-Jan-19,95.79,96.49,96.53,95.74,-,-0.84%,2226
24-Jan-19,96.6,96.07,96.68,96.04,-,0.50%,2225
23-Jan-19,96.12,96.31,96.37,96.05,-,-0.19%,2224
22-Jan-19,96.3,96.34,96.48,96.22,-,-0.04%,2223
21-Jan-19,96.34,96.35,96.43,96.2,-,0.00%,2222
18-Jan-19,96.34,96.07,96.39,96.01,-,0.29%,2221
17-Jan-19,96.06,96.07,96.26,95.98,-,0.00%,2220
16-Jan-19,96.06,95.94,96.18,95.86,-,0.02%,2219
15-Jan-19,96.04,95.57,96.26,95.47,-,0.45%,2218
14-Jan-19,95.61,95.65,95.72,95.48,-,-0.06%,2217
11-Jan-19,95.67,95.44,95.76,95.19,-,0.14%,2216
10-Jan-19,95.54,95.16,95.62,95.03,-,0.34%,2215
9-Jan-19,95.22,95.81,95.92,95.12,-,-0.71%,2214
8-Jan-19,95.9,95.69,96.03,95.68,-,0.24%,2213
7-Jan-19,95.67,96.16,96.16,95.64,-,-0.53%,2212
4-Jan-19,96.18,96.28,96.61,96.05,-,-0.13%,2211
3-Jan-19,96.31,96.72,96.75,96.21,-,-0.53%,2210
2-Jan-19,96.82,96.14,96.96,95.82,-,0.68%,2209
1-Jan-19,96.17,96.15,96.32,95.65,-,0.00%,2208
31-Dec-18,96.17,96.4,96.51,96,-,-0.24%,2207
28-Dec-18,96.4,96.51,96.52,96.19,-,-0.08%,2206
27-Dec-18,96.48,96.92,96.94,96.41,-,-0.59%,2205
26-Dec-18,97.05,96.58,97.12,96.53,-,0.52%,2204
25-Dec-18,96.55,96.56,96.96,96.47,-,0.00%,2203
24-Dec-18,96.55,96.94,96.94,96.38,-,-0.42%,2202
21-Dec-18,96.96,96.39,97.05,96.25,-,0.71%,2201
20-Dec-18,96.28,96.99,97.04,96.17,-,-0.77%,2200
19-Dec-18,97.03,96.91,97.1,96.55,-,-0.07%,2199
18-Dec-18,97.1,97.13,97.17,96.7,-,0.00%,2198
17-Dec-18,97.1,97.43,97.46,97.05,-,-0.35%,2197
14-Dec-18,97.44,97.09,97.71,97.08,-,0.39%,2196
13-Dec-18,97.06,97.04,97.29,96.88,-,0.02%,2195
12-Dec-18,97.04,97.38,97.49,96.89,-,-0.36%,2194
