Date,Price,Open,High,Low,Vol.,Change %,
4-Dec-13,"1,237.60","1,154.90","1,239.70","1,131.30",16.30K,7.16%,1236
3-Dec-13,"1,154.90","1,096.60","1,185.60","1,064.90",19.34K,5.32%,1235
2-Dec-13,"1,096.60","1,004.40","1,117.70",975,37.05K,9.18%,1234
1-Dec-13,"1,004.40","1,205.70","1,216.80",840.3,79.92K,-16.69%,1233
30-Nov-13,"1,205.70","1,206.90","1,232.90","1,150.20",15.10K,-0.11%,1232
29-Nov-13,"1,206.90","1,101.40","1,241.90","1,050.00",38.71K,9.58%,1231
28-Nov-13,"1,101.40","1,079.90","1,224.50","1,032.10",37.40K,1.99%,1230
27-Nov-13,"1,079.90",970,"1,094.80",914.3,37.86K,11.33%,1229
26-Nov-13,970,830,975,825.1,31.61K,16.86%,1228
25-Nov-13,830,795,850,759,26.38K,4.40%,1227
24-Nov-13,795,832.5,855,745.2,25.95K,-4.50%,1226
23-Nov-13,832.5,802,890,799.5,21.31K,3.80%,1225
22-Nov-13,802,764.9,822,682.3,30.15K,4.85%,1224
21-Nov-13,764.9,638,784.3,595.2,38.73K,19.90%,1223
20-Nov-13,638,645.7,650,453.3,91.59K,-1.20%,1222
19-Nov-13,645.7,785.4,900.9,502.6,99.10K,-17.79%,1221
18-Nov-13,785.4,528.3,787.9,522,72.07K,48.67%,1220
17-Nov-13,528.3,462,536.8,457,26.72K,14.36%,1219
16-Nov-13,462,433.9,476.9,428,19.14K,6.46%,1218
15-Nov-13,433.9,433.4,457.9,413,28.13K,0.12%,1217
14-Nov-13,433.4,434.9,447.5,402.5,31.41K,-0.33%,1216
13-Nov-13,434.9,380,445,372.2,36.02K,14.42%,1215
12-Nov-13,380,363,391.8,359,22.03K,4.70%,1214
11-Nov-13,363,336.3,376,321.4,18.00K,7.93%,1213
10-Nov-13,336.3,367.8,372.5,290,74.25K,-8.56%,1212
9-Nov-13,367.8,355,395,340,49.91K,3.60%,1211
8-Nov-13,355,309.6,358,308,44.63K,14.65%,1210
7-Nov-13,309.6,264.1,324.2,263.6,86.13K,17.25%,1209
6-Nov-13,264.1,251.3,272.5,251.4,38.82K,5.09%,1208
5-Nov-13,251.3,238.2,258.9,229,45.10K,5.52%,1207
4-Nov-13,238.2,224,239,221.9,18.06K,6.32%,1206
3-Nov-13,224,211.7,226.9,212.1,12.27K,5.82%,1205
2-Nov-13,211.7,213.4,214.9,211,4.88K,-0.82%,1204
1-Nov-13,213.4,211.2,214.9,209.7,5.88K,1.07%,1203
31-Oct-13,211.2,208,215,205.4,5.29K,1.52%,1202
30-Oct-13,208,216,216.5,204,13.47K,-3.70%,1201
29-Oct-13,216,206.9,216.5,204.2,10.02K,4.40%,1200
28-Oct-13,206.9,206.9,209.8,200.4,11.07K,0.00%,1199
27-Oct-13,206.9,188.6,207.8,188.9,13.16K,9.73%,1198
26-Oct-13,188.6,197.9,198.4,187,12.09K,-4.71%,1197
25-Oct-13,197.9,207,209,176.6,36.75K,-4.40%,1196
24-Oct-13,207,228,233.4,175.3,96.75K,-9.21%,1195
23-Oct-13,228,203,228,200.7,39.90K,12.31%,1194
22-Oct-13,203,192.8,205.5,192.8,33.87K,5.30%,1193
21-Oct-13,192.8,186.1,197.4,183.2,24.10K,3.59%,1192
20-Oct-13,186.1,183.1,186.1,177.2,11.42K,1.61%,1191
19-Oct-13,183.1,168.3,195.8,167.1,55.28K,8.84%,1190
18-Oct-13,168.3,157.6,168.3,156.5,25.89K,6.78%,1189
17-Oct-13,157.6,152.8,159.9,150.8,15.88K,3.12%,1188
16-Oct-13,152.8,158.1,163,144.2,42.78K,-3.33%,1187
15-Oct-13,158.1,151.4,158.1,150.6,15.73K,4.44%,1186
14-Oct-13,151.4,147.5,153.7,146,29.99K,2.60%,1185
13-Oct-13,147.5,142.9,147.6,141.5,16.17K,3.25%,1184
12-Oct-13,142.9,140.1,143.1,139.4,11.02K,1.99%,1183
